event_id,fight_key,event_name,event_date,fighter_a,fighter_b,weight_class,card_section,bout_order,fight_status,source,confirmation_source,source_checked_at
ufc329,ufc329_conor-mcgregor__max-holloway,UFC 329: McGregor vs. Holloway 2,2026-07-11,Conor McGregor,Max Holloway,Welterweight,main_event,1,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_benoit-saint-denis__paddy-pimblett,UFC 329: McGregor vs. Holloway 2,2026-07-11,Benoît Saint Denis,Paddy Pimblett,Lightweight,main_card,2,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_cory-sandhagen__mario-bautista,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cory Sandhagen,Mario Bautista,Bantamweight,main_card,3,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_brandon-royval__loneer-kavanagh,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,Flyweight,main_card,4,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_king-green__terrance-mckinney,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,Lightweight,main_card,5,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_nikita-krylov__robert-whittaker,UFC 329: McGregor vs. Holloway 2,2026-07-11,Nikita Krylov,Robert Whittaker,Light Heavyweight,prelims,6,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/fight-fight-preview-ufc-329-mcgregor-vs-holloway-2,2026-07-11T10:35:42Z
ufc329,ufc329_elisha-ellison__gable-steveson,UFC 329: McGregor vs. Holloway 2,2026-07-11,Gable Steveson,Elisha Ellison,Heavyweight,prelims,7,confirmed,https://www.ufc.com/event/ufc-329,https://as.com/masdeporte/polideportivo/cartelera-completa-del-ufc-329-combates-orden-y-horarios-mas-alla-del-mcgregor-vs-holloway-f202607-n/,2026-07-11T10:35:42Z
ufc329,ufc329_adrian-yanez__cody-garbrandt,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cody Garbrandt,Adrian Yanez,Bantamweight,prelims,8,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_kai-kamaka-iii__luke-riley,UFC 329: McGregor vs. Holloway 2,2026-07-11,Luke Riley,Kai Kamaka III,Featherweight,prelims,9,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_tracy-cortez__wang-cong,UFC 329: McGregor vs. Holloway 2,2026-07-11,Tracy Cortez,Wang Cong,Women's Flyweight,early_prelims,10,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_cesar-almeida__damian-pinas,UFC 329: McGregor vs. Holloway 2,2026-07-11,Damian Pinas,Cesar Almeida,Middleweight,early_prelims,11,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
ufc329,ufc329_farid-basharat__john-garza,UFC 329: McGregor vs. Holloway 2,2026-07-11,Farid Basharat,John Garza,Bantamweight,early_prelims,12,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/updates-ufc-329-mcgregor-vs-holloway-2,2026-07-11T10:35:42Z
ufc329,ufc329_ryan-gandra__zachary-reese,UFC 329: McGregor vs. Holloway 2,2026-07-11,Ryan Gandra,Zachary Reese,Middleweight,early_prelims,13,confirmed,https://www.ufc.com/event/ufc-329,https://as.com/masdeporte/polideportivo/cartelera-completa-del-ufc-329-combates-orden-y-horarios-mas-alla-del-mcgregor-vs-holloway-f202607-n/,2026-07-11T10:35:42Z
ufc329,ufc329_alessandro-costa__cody-durden,UFC 329: McGregor vs. Holloway 2,2026-07-11,Alessandro Costa,Cody Durden,Flyweight,early_prelims,14,confirmed,https://www.ufc.com/event/ufc-329,https://www.ufc.com/news/how-watch-and-stream-ufc,2026-07-11T10:35:42Z
